,punto de entrada,formulario,NIT,Razón social de la sociedad,Fecha de Corte,Clasificación Industrial Internacional Uniforme Versión 4 A.C,Tipo societario,Dirección de notificación judicial registrada en Cámara de Comercio,Departamento de la dirección del domicilio,Ciudad de la dirección del domicilio,Periodo,Efectivo y equivalentes al efectivo,Cuentas comerciales por cobrar y otras cuentas por cobrar corrientes,Inventarios corrientes,"Activos por impuestos corrientes, corriente",Activos biológicos corrientes,Otros activos financieros corrientes,Otros activos no financieros corrientes,Activos corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo dicha garantía colateral,Total activos corrientes distintos de los activos no corrientes o grupo de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,Activos corrientes totales,Propiedad de inversión,"Propiedades, planta y equipo",Plusvalía,Activos intangibles distintos de la plusvalía,Inversiones contabilizadas utilizando el método de la participación,Activos biológicos no corrientes,Cuentas comerciales por cobrar y otras cuentas por cobrar no corrientes,Inventarios no corrientes,Activos por impuestos diferidos,"Activos por impuestos corrientes, no corriente",Otros activos financieros no corrientes,Otros activos no financieros no corrientes,Activos no corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo la garantía colateral,Total de activos no corrientes,Total de activos,Provisiones corrientes por beneficios a los empleados,Otras provisiones corrientes,Total provisiones corrientes,Cuentas por pagar comerciales y otras cuentas por pagar,Pasivos por impuestos corrientes corriente,Otros pasivos financieros corrientes,Otros pasivos no financieros corrientes,Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,Pasivos corrientes totales,Provisiones no corrientes por beneficios a los empleados,Otras provisiones no corrientes,Total provisiones no corrientes,Cuentas comerciales por pagar y otras cuentas por pagar no corrientes,Pasivo por impuestos diferidos,Pasivos por impuestos corrientes no corriente,Otros pasivos financieros no corrientes,Otros pasivos no financieros no corrientes,Total de pasivos no corrientes,Total pasivos,Capital emitido,Prima de emisión,Acciones propias en cartera,Inversión suplementaria al capital asignado,Otras participaciones en el patrimonio,Superavit por revaluación,Otras reservas,Ganancias acumuladas,Total patrimonio atribuible a propietarios de la controladora,Participaciones no controladoras,Patrimonio total,Total de patrimonio y pasivos
10,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",900353530,ACI WORLDWIDE COLOMBIA SAS,2018-12-31,"J6201 - Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,Av. Cra 72 No. 80-94 Of 502,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Actual,8901349,4095343,,1005446,,,4390195,,18392333,,18392333,,292100,14167555,6546406,,,,,1129720,,,2188004,,24323785,42716118,1092492,542177,1634669,2593156,1378688,5518,1693706,7305737,,7305737,39555,,39555,,4636127,,10531888,942817,16150387,23456124,16500000,,,,,,1335931,1407061,19242992,17002,19259994,42716118
11,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",900353530,ACI WORLDWIDE COLOMBIA SAS,2018-12-31,"J6201 - Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,Av. Cra 72 No. 80-94 Of 502,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Anterior,8345436,6361204,,2124309,,,28681,,16859630,,16859630,,461760,14167555,7348007,,,,,785858,,,,,22763180,39622810,1219123,486855,1705978,4825863,1073052,19835,981901,8606629,,8606629,36083,6834,42917,,3845987,,10158335,9393,14056632,22663261,16500000,,,,,,1173836,-730360,16943476,16073,16959549,39622810
12,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890304099,HOTELES ESTELAR S.A.,2018-12-31,I5511 - Alojamiento en hoteles,01. SOCIEDAD ANÓNIMA,AVENIDA COLOMBIA No 2 72,VALLE,CALI-VALLE,Periodo Actual,14134809,175433213,8928153,,,41304446,,,239800621,,239800621,,571653030,6661310,5924707,,,19608134,,,,,602305,,604449486,844250107,9782062,26222784,36004846,118108241,102301,74602086,,228817474,,228817474,1083364,,1083364,99348345,22991994,,99509803,,222933506,451750980,49693120,141841893,,,80099611,10305649,31620677,31531280,345092230,47406897,392499127,844250107
13,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890304099,HOTELES ESTELAR S.A.,2018-12-31,I5511 - Alojamiento en hoteles,01. SOCIEDAD ANÓNIMA,AVENIDA COLOMBIA No 2 72,VALLE,CALI-VALLE,Periodo Anterior,15079476,117842119,8273948,,,53222744,,,194418287,,194418287,,566360366,6661310,4675049,,,29474359,,,,,605368,,607776452,802194739,8826146,24814626,33640772,166062620,877,56025167,,255729436,,255729436,947917,,947917,32773460,23363983,,117741676,,174827036,430556472,49693120,141841893,,,78887219,8427360,31620677,13938998,324409267,47229000,371638267,802194739
14,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890304297,ADMINISTRACION E INVERSIONES COMERCIALES S.A.,2018-12-31,K6493 - Actividades de compra de cartera o factoring,01. SOCIEDAD ANÓNIMA,AV 6A BIS 35N 100 OFC 211,VALLE,CALI-VALLE,Periodo Actual,2529255,257352355,19455151,2633422,0,0,118972,,282089155,6078727,288167882,162658121,10433236,,,4183418,,582484,,15773377,,,4491042,,198121678,486289560,2182886,,2182886,41675138,2909721,,2473249,49240994,,49240994,,,,187787426,18457156,,,,206244582,255485576,1026000,36086169,,,,,79683772,108389668,225185609,5618375,230803984,486289560
15,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890304297,ADMINISTRACION E INVERSIONES COMERCIALES S.A.,2018-12-31,K6493 - Actividades de compra de cartera o factoring,01. SOCIEDAD ANÓNIMA,AV 6A BIS 35N 100 OFC 211,VALLE,CALI-VALLE,Periodo Anterior,2745022,252715252,19084164,2849994,0,0,78596,,277473028,6153999,283627027,149827956,9732306,,,4448706,,2053915,,18389018,,,4549963,,189001864,472628891,1992936,456362,2449298,41381487,4470942,619357,992486,49913570,,49913570,,,,179073309,19802003,,,,198875312,248788882,1026000,36086169,,,,,78077273,102837521,218026963,5813046,223840009,472628891
16,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890304403,EMA HOLDINGS S.A.S.,2018-12-31,N8211 - Actividades combinadas de servicios administrativos de oficina,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CL. 64 N NRO. 5 B 26/146 LOCAL 26 EDIFICIO CENTRO EMPRESA,VALLE,CALI-VALLE,Periodo Actual,23551557,73370173,93823251,3471613,0,1955496,432756,0,196604846,0,196604846,48054173,71882796,0,0,0,3994636,1788520,0,137665,0,14642836,0,0,140500626,337105472,5246486,4862353,10108839,63318160,14105242,18500358,558606,106591205,0,106591205,325602,0,325602,9504735,8745941,0,742045,,19318323,125909528,19115053,12153030,0,,0,0,51527551,108474732,191270366,19925578,211195944,337105472
17,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890304403,EMA HOLDINGS S.A.S.,2018-12-31,N8211 - Actividades combinadas de servicios administrativos de oficina,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CL. 64 N NRO. 5 B 26/146 LOCAL 26 EDIFICIO CENTRO EMPRESA,VALLE,CALI-VALLE,Periodo Anterior,26448116,73620556,86931505,2440151,0,334670,114644,0,189889642,0,189889642,48196758,71363749,0,0,0,3554442,2174177,0,151161,0,15230594,0,0,140670881,330560523,4445575,4444808,8890383,60958756,14273144,16745324,515405,101383012,0,101383012,367518,1439427,1806945,1402314,8515750,0,7705995,0,19431004,120814016,19115053,12153030,0,0,0,0,51057374,107995989,190321446,19425061,209746507,330560523
18,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890305795,BEIERSDORF S A,2018-12-31,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",01. SOCIEDAD ANÓNIMA,CALLE 100 N 10 PISO 8,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Actual,36866880,45387455,17940679,334848,,602180,36959,,101169001,,101169001,,4116383,,,,,,,1175397,,,,,5291780,106460781,,8370811,8370811,32839125,6465037,,10461020,58135993,,58135993,846447,1773674,2620121,,,,,,2620121,60756114,8598996,,,,,,9296362,27809309,45704667,,45704667,106460781
19,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890305795,BEIERSDORF S A,2018-12-31,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",01. SOCIEDAD ANÓNIMA,CALLE 100 N 10 PISO 8,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Anterior,37633900,42335926,18176720,73643,,144541,,,98364730,,98364730,,2275290,,,,,,,731442,,,,,3006732,101371462,,3227678,3227678,30512752,7094983,,8016347,48851760,,48851760,722008,1766905,2488913,,,,,,2488913,51340673,8598996,,,,,,7088919,34342874,50030789,,50030789,101371462
20,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890307989,MARSH & MCLENNAN COLOMBIA S.A.,2018-12-31,"K6499 - Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.",01. SOCIEDAD ANÓNIMA,CL 67 NO 6N 85,VALLE,CALI-VALLE,Periodo Actual,39875743,68964534,,19424815,,,540690,,128805782,,128805782,,9341929,,1714959,,,,,2653717,,,,,13710605,142516387,6590824,15839817,22430641,31314274,5994706,19044,8097914,67856579,,67856579,2647570,,2647570,,,,,270984,2918554,70775133,2462130,,,,,,23935973,45343151,71741254,,71741254,142516387
21,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890307989,MARSH & MCLENNAN COLOMBIA S.A.,2018-12-31,"K6499 - Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.",01. SOCIEDAD ANÓNIMA,CL 67 NO 6N 85,VALLE,CALI-VALLE,Periodo Anterior,56684513,69163783,,16556140,,,457407,,142861843,,142861843,,9227533,,2105965,,,,,2575722,,,,,13909220,156771063,6019704,14106805,20126509,19817141,8849266,,5043649,53836565,,53836565,2768698,,2768698,,,,,1598797,4367495,58204060,2462130,,,,13137150,,41931593,41036130,98567003,,98567003,156771063
22,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890311875,SCHNEIDER ELECTRIC DE COLOMBIA S.A.S,2018-12-31,C2790 - Fabricación de otros tipos de equipo eléctrico n.c.p.,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,COMPLEJO INDUSTRIAL CELTA TRADE PARK KM 7.1 VIA BOGOTA MEDELLIN BG 105,BOGOTA D.C.,PUENTE-ARANDA-BOGOTA D.C.,Periodo Actual,13295364,117027684,55506659,10222191,,,13000,,196064898,,196064898,,43214772,,10958214,,,11025512,,1002391,,,,,66200889,262265787,,1427279,1427279,96866721,5991157,89456557,4706102,198447816,,198447816,,,,,515566,,313915,,829481,199277297,36849670,27155967,,,,,17756420,-18773567,62988490,,62988490,262265787
23,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890311875,SCHNEIDER ELECTRIC DE COLOMBIA S.A.S,2018-12-31,C2790 - Fabricación de otros tipos de equipo eléctrico n.c.p.,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,COMPLEJO INDUSTRIAL CELTA TRADE PARK KM 7.1 VIA BOGOTA MEDELLIN BG 105,BOGOTA D.C.,PUENTE-ARANDA-BOGOTA D.C.,Periodo Anterior,11718556,122826865,45790988,12228908,,,,,192565317,,192565317,,43232960,,11029598,,,12032841,,,,,,,66295399,258860716,,1098712,1098712,91549639,8441318,79557500,2978465,183625634,,183625634,,,,,274112,,106995,,381107,184006741,36849970,27155967,,,,,17340585,-6492547,74853975,,74853975,258860716
24,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890312765,MORELCO S.A.S.,2018-12-31,F4290 - Construcción de otras obras de ingeniería civil,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CRA 13 A No. 98 - 75 PISO 6,BOGOTA D.C.,CHAPINERO-BOGOTA D.C.,Periodo Actual,65430514,140158310,4565852,15023776,0,0,304860,0,225483312,,225483312,0,28823359,0,4883446,0,0,20047348,0,0,0,900,0,0,53755053,279238365,0,0,0,130283448,6614181,6027205,0,142924834,0,142924834,0,1913207,1913207,0,6608566,0,375798,0,8897571,151822405,3860737,102310228,0,,,0,6721682,14523313,127415960,0,127415960,279238365
25,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890312765,MORELCO S.A.S.,2018-12-31,F4290 - Construcción de otras obras de ingeniería civil,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CRA 13 A No. 98 - 75 PISO 6,BOGOTA D.C.,CHAPINERO-BOGOTA D.C.,Periodo Anterior,31603501,205369314,18424660,27001004,0,166181,1462308,0,284026968,0,284026968,0,77528871,0,17862653,0,0,0,0,7864782,0,0,0,0,103256306,387283274,0,6076019,6076019,129715635,21032076,39826947,0,196650677,0,196650677,0,1957760,1957760,9000000,0,0,12007260,0,22965020,219615697,22496857,101960229,0,28610611,,0,7741082,6856433,167665212,2365,167667577,387283274
26,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890315540,PRODUCTOS YUPI SAS,2018-12-31,C1089 - Elaboración de otros productos alimenticios n.c.p.,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,Calle 15 No. 35 75 BG A5,VALLE,YUMBO-VALLE,Periodo Actual,2821283,29266716,27007826,,,,441382,,59537207,,59537207,8361,82482826,7783890,6402221,,,,,,,3264,,,96680562,156217769,3841927,177189,4019116,47006415,9003135,7950803,1987711,69967180,,69967180,945471,,945471,,2697917,,25075597,,28718985,98686165,3447350,,,,,,12112233,29208273,44767856,12763748,57531604,156217769
27,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890315540,PRODUCTOS YUPI SAS,2018-12-31,C1089 - Elaboración de otros productos alimenticios n.c.p.,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,Calle 15 No. 35 75 BG A5,VALLE,YUMBO-VALLE,Periodo Anterior,2833982,35323852,22172053,,,,394997,,60724884,,60724884,6904,70362495,7783890,7005728,,,7585,,839924,,3264,,,86009790,146734674,3730465,294378,4024843,32825416,7957922,7323129,2675341,54806651,,54806651,852564,,852564,,,,41097206,,41949770,96756421,3447350,,,,,,4658326,31369523,39475199,10503054,49978253,146734674
28,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890316056,LAGUNA Y CIA S A S,2018-12-31,M7010 - Actividades de administración empresarial,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,KR 8 # 12 - 44,VALLE,CALI-VALLE,Periodo Actual,20953790,21550730,56391390,11130,,1097844,148620,,100153504,,100153504,,6821757,,1396703,,,283081,,988050,,146720,17978705,,27615016,127768520,2183549,,2183549,24981044,4490554,31489617,1817830,64962594,,64962594,,,,,1333631,,250000,,1583631,66546225,351150,,,,17864404,,41909974,1096767,61222295,,61222295,127768520
29,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890316056,LAGUNA Y CIA S A S,2018-12-31,M7010 - Actividades de administración empresarial,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,KR 8 # 12 - 44,VALLE,CALI-VALLE,Periodo Anterior,21359364,21667892,49799950,,,35128,71500,,92933834,,92933834,,6132263,,1903923,,,328410,,308162,,195023,17733621,,26601402,119535236,1995800,,1995800,19502990,4129272,21261623,2240748,49130433,,49130433,,,,,1249342,,8060999,,9310341,58440774,351150,,,,18092535,,41554010,1096767,61094462,,61094462,119535236
30,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890318250,SUPERMOTOS S.A.S,2018-12-31,K6613 - Otras actividades relacionadas con el mercado de valores,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,Av 3N No. 40 - 248,VALLE,CALI-VALLE,Periodo Actual,12357337,14506807,26475237,12387543,,,1004197,,66731121,,66731121,701464,4302050,,,,,,,126284,,1236351,,,6366149,73097270,3838077,1055,3839132,72451116,3556359,10004299,,89850906,,89850906,,338738,338738,,119428,,,,458166,90309072,599435,52397715,,,,,464543,-68325283,-14863590,-2348212,-17211802,73097270
31,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890318250,SUPERMOTOS S.A.S,2018-12-31,K6613 - Otras actividades relacionadas con el mercado de valores,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,Av 3N No. 40 - 248,VALLE,CALI-VALLE,Periodo Anterior,10244247,27343330,32264803,10712023,,,3399465,,83963868,,83963868,742000,2985226,,,,,,,113198,,1236351,,,5076775,89040643,4307249,1377,4308626,54981980,3660511,27216770,,90167887,,90167887,,371900,371900,,125252,,,,497152,90665039,599435,52397715,,,,,464543,-54349527,-887834,-736562,-1624396,89040643
32,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890318932,ALFAGUARA SA,2018-12-31,A0150 - Explotación mixta (agrícola y pecuaria),01. SOCIEDAD ANÓNIMA,CL 2 22 175,VALLE,JAMUNDI-VALLE,Periodo Actual,4288027,3609498,5026400,585304,,,169070,,13678299,,13678299,1037835,8846330,,6594160,6656758,,,,4146,,,,,23139229,36817528,,,,12154104,705443,166732,5775722,18802001,,18802001,,,,,800212,,,,800212,19602213,631013,84600,,,,5772954,621615,9892755,17002937,212378,17215315,36817528
33,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890318932,ALFAGUARA SA,2018-12-31,A0150 - Explotación mixta (agrícola y pecuaria),01. SOCIEDAD ANÓNIMA,CL 2 22 175,VALLE,JAMUNDI-VALLE,Periodo Anterior,8354177,1519991,17718269,587757,,,385015,,28565209,,28565209,1286088,12864542,,73413,6419092,,,,6376,,,,,20649511,49214720,,,,14750328,224584,6389205,9464174,30828291,,30828291,,,,,1182820,,,,1182820,32011111,631013,84600,,,,5759420,575657,9940777,16991467,212142,17203609,49214720
