,punto de entrada,formulario,NIT,Razón social de la sociedad,Fecha de Corte,Clasificación Industrial Internacional Uniforme Versión 4 A.C (CIIU),Tipo societario,Dirección de notificación judicial registrada en Cámara de Comercio,Departamento de la dirección del domicilio,Ciudad de la dirección del domicilio,Periodo,Efectivo y equivalentes al efectivo,Cuentas comerciales por cobrar y otras cuentas por cobrar corrientes,Inventarios corrientes,"Activos por impuestos corrientes, corriente",Activos biológicos corrientes,Otros activos financieros corrientes,Otros activos no financieros corrientes,Activos corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo dicha garantía colateral,Total activos corrientes distintos de los activos no corrientes o grupo de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,Activos corrientes totales,Propiedad de inversión,"Propiedades, planta y equipo",Plusvalía,Activos intangibles distintos de la plusvalía,Inversiones contabilizadas utilizando el método de la participación,Activos biológicos no corrientes,Cuentas comerciales por cobrar y otras cuentas por cobrar no corrientes,Inventarios no corrientes,Activos por impuestos diferidos,"Activos por impuestos corrientes, no corriente",Otros activos financieros no corrientes,Otros activos no financieros no corrientes,Activos no corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo la garantía colateral,Total de activos no corrientes,Total de activos,Provisiones corrientes por beneficios a los empleados,Otras provisiones corrientes,Total provisiones corrientes,Cuentas por pagar comerciales y otras cuentas por pagar,"Pasivos por impuestos corrientes, corriente",Otros pasivos financieros corrientes,Otros pasivos no financieros corrientes,Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,Pasivos corrientes totales,Provisiones no corrientes por beneficios a los empleados,Otras provisiones no corrientes,Total provisiones no corrientes,Cuentas comerciales por pagar y otras cuentas por pagar no corrientes,Pasivo por impuestos diferidos,"Pasivos por impuestos corrientes, no corriente",Otros pasivos financieros no corrientes,Otros pasivos no financieros no corrientes,Total de pasivos no corrientes,Total pasivos,Capital emitido,Prima de emisión,Acciones propias en cartera,Inversión suplementaria al capital asignado,Otras participaciones en el patrimonio,Superavit por revaluación,Otras reservas,Ganancias acumuladas,Total patrimonio atribuible a propietarios de la controladora,Participaciones no controladoras,Patrimonio total,Total de patrimonio y pasivos
10,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",900115530,HUMBERTO QUINTERO O Y CIA SCA,2020-12-31,C3290 - Otras industrias manufactureras n.c.p.,05. SOCIEDAD EN COMANDITA POR ACCIONES,CALLE 8 N° 38 80 BG 4 COPI MENGA,VALLE,YUMBO-VALLE,Periodo Actual,6161497,23527811,7535050,5837328,0,0,0,0,43061686,,43061686,6996394,26397829,0,4100,0,0,0,0,1237524,0,0,0,0,34635847,77697533,717991,0,717991,12904695,2770763,13812989,6640608,36847046,0,36847046,0,0,0,0,1229895,0,8357972,0,9587867,46434913,11000000,0,0,0,2313256,9819587,1862979,6266798,31262620,0,31262620,77697533
11,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",900115530,HUMBERTO QUINTERO O Y CIA SCA,2020-12-31,C3290 - Otras industrias manufactureras n.c.p.,05. SOCIEDAD EN COMANDITA POR ACCIONES,CALLE 8 N° 38 80 BG 4 COPI MENGA,VALLE,YUMBO-VALLE,Periodo Anterior,1777334,19497416,6649787,9268905,0,0,485,0,37193927,,37193927,6774285,18860936,0,282424,373940,0,0,0,202038,0,0,0,0,26493623,63687550,606739,0,606739,8625553,3327811,16541735,4791697,33893535,0,33893535,0,0,0,0,205500,0,6628435,0,6833935,40727470,11000000,0,0,0,2313256,3159693,1484313,5002818,22960080,0,22960080,63687550
12,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",900353530,ACI WORLDWIDE COLOMBIA SAS,2020-12-31,"J6201 - Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,Av. Cra 72 No. 80-94 Of 502,BOGOTA D.C.,BOGOTA D.C.,Periodo Actual,8571264,2800119,,2264817,,,2553059,,16189259,,16189259,,3189763,14167555,4960309,,,,,2646283,,,6187914,,31151824,47341083,1352325,1257316,2609641,989454,1541234,12,3482648,8622989,,8622989,69023,220607,289630,,8601296,,1175727,2466986,12533639,21156628,16500000,,,,,,1847255,7814714,26161969,22486,26184455,47341083
13,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",900353530,ACI WORLDWIDE COLOMBIA SAS,2020-12-31,"J6201 - Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,Av. Cra 72 No. 80-94 Of 502,BOGOTA D.C.,BOGOTA D.C.,Periodo Anterior,8805259,8958891,,1530706,,,1875246,,21170102,,21170102,,740672,14167555,5770834,,,,,1701566,,,1806808,,24187435,45357537,1350518,298826,1649344,4963897,1455793,18099,2390107,10477240,,10477240,51189,220607,271796,,5698926,,8221648,252773,14445143,24922383,16500000,,,,,,1408235,2506138,20414373,20781,20435154,45357537
14,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800106884,DUGOTEX S.A. EN REORGANIZACION,2020-12-31,"C1410 - Confección de prendas de vestir, excepto prendas de piel",01. SOCIEDAD ANÓNIMA,CALLE 64 C 88 A 19,BOGOTA D.C.,BOGOTA D.C.,Periodo Actual,9616561,39760508,38300729,656848,,21569,585332,,88941547,,88941547,,42595352,,,1832781,,150930,,,,13054860,2930715,,60564638,149506185,,,,13693318,4039103,2120331,3836011,23688763,,23688763,,,,48749150,285571,,60584422,,109619143,133307906,5726598,,,,,16343068,3807170,-12784884,13091952,3106327,16198279,149506185
15,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800106884,DUGOTEX S.A. EN REORGANIZACION,2020-12-31,"C1410 - Confección de prendas de vestir, excepto prendas de piel",01. SOCIEDAD ANÓNIMA,CALLE 64 C 88 A 19,BOGOTA D.C.,BOGOTA D.C.,Periodo Anterior,9468880,42083614,37862161,1284835,,21569,,,90721059,,90721059,,42580147,,,1832781,,142500,,,,13054860,3027864,,60638152,151359211,,,,40913811,14010056,1516867,11140708,67581442,,67581442,,,,299000,285571,,61624505,,62209076,129790518,5726598,,,,,16343068,3807170,-8521642,17355194,4213499,21568693,151359211
16,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800133063,FALCON FARMS DE COLOMBIA S.A. EN REORGANIZACION,2020-12-31,A0125 - Cultivo de flor de corte,01. SOCIEDAD ANÓNIMA,Calle 19 N 5-30 OFC 2201,BOGOTA D.C.,BOGOTA D.C.,Periodo Actual,1808141,27598281,6251674,,,,,,35658096,,35658096,2436,79683326,,3383384,,11102165,183502,,0,,,,,94354813,130012909,4000469,142657,4143126,38336678,1032419,28358270,1631827,73502320,,73502320,,,,30020230,4130414,,2343412,1877341,38371397,111873717,50974558,245308,,,,14079849,-1559311,-57448547,6291857,11847335,18139192,130012909
17,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800133063,FALCON FARMS DE COLOMBIA S.A. EN REORGANIZACION,2020-12-31,A0125 - Cultivo de flor de corte,01. SOCIEDAD ANÓNIMA,Calle 19 N 5-30 OFC 2201,BOGOTA D.C.,BOGOTA D.C.,Periodo Anterior,1373895,18639692,5357197,,,,,,25370784,,25370784,2436,83505929,,4623409,,12232153,741705,,3146354,,,,,104251986,129622770,3576307,40000,3616307,34866850,596790,25527709,15317074,79924730,,79924730,,,,28890048,0,,6369421,2327352,37586821,117511551,50974558,245308,,,,16241166,-2038789,-60962168,4460075,7651144,12111219,129622770
18,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800133807,SCANDINAVIA PHARMA LTDA,2020-12-31,"C2100 - Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,Calle 106 N. 18 A 45,BOGOTA D.C.,BOGOTA D.C.,Periodo Actual,5158941,54609078,111133142,221137,,1010037,,,172132335,,172132335,,16878189,,73413682,,,65781,,,,,,,90357652,262489987,2186005,2551033,4737038,40304721,2092331,32809980,1495161,81439231,,81439231,,,,9444826,9012014,,,4083060,22539900,103979131,14000000,57059805,,,,,8116405,79334646,158510856,,158510856,262489987
19,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800133807,SCANDINAVIA PHARMA LTDA,2020-12-31,"C2100 - Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,Calle 106 N. 18 A 45,BOGOTA D.C.,BOGOTA D.C.,Periodo Anterior,1151678,67920484,94707054,5480581,,512395,,,169772192,,169772192,,12402603,,77570824,,,62804,,,,5963132,,,95999363,265771555,2667277,2348071,5015348,70631847,1656527,32458035,1275084,111036841,,111036841,,,,0,14830879,,,4870347,19701226,130738067,14000000,57059805,,,,,6189442,57784241,135033488,,135033488,265771555
20,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800173155,PRABYC  INGENIEROS  SAS,2020-12-31,F4111 - Construcción de edificios residenciales,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CRA   16  N° 93  A  36  of 701,BOGOTA D.C.,BOGOTA D.C.,Periodo Actual,3454369,201724985,472523500,16563302,,,5496557,,699762713,,699762713,147992389,22986106,,,25473194,,,,,,,,,196451689,896214402,,,,75302628,15313588,44126847,35664425,170407488,,170407488,,,,,6604940,,224621695,41363698,272590333,442997821,6848000,,,,,6015500,6861466,145444798,165169764,288046817,453216581,896214402
21,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800173155,PRABYC  INGENIEROS  SAS,2020-12-31,F4111 - Construcción de edificios residenciales,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CRA   16  N° 93  A  36  of 701,BOGOTA D.C.,BOGOTA D.C.,Periodo Anterior,13316697,219465008,629546153,15415897,,,13926357,,891670112,,891670112,87154508,22101290,,,27953129,,,,,,,,,137208927,1028879039,,,,86275234,13414721,47829377,82562366,230081698,,230081698,,,,,6604940,,225102582,62155942,293863464,523945162,6848000,,,,,6015500,6861466,141064843,160789809,344144068,504933877,1028879039
22,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800206584,COMERCIALIZADORA INTERNACIONAL JEANS S.A.,2020-12-31,"C1410 - Confección de prendas de vestir, excepto prendas de piel",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CR 53 77 SUR 120,ANTIOQUIA,LA-ESTRELLA-ANTIOQUIA,Periodo Actual,6092123,15892616,22890212,2316067,,1028682,74961,,48294661,,48294661,156000,27082095,,,,25022642,,,2655390,,,24757,,54940884,103235545,,,,23386352,,38099414,,61485766,,61485766,,,,9189316,,,320766,,9510082,70995848,1730000,25195182,,,,,684585,-7026110,20583657,11656040,32239697,103235545
23,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800206584,COMERCIALIZADORA INTERNACIONAL JEANS S.A.,2020-12-31,"C1410 - Confección de prendas de vestir, excepto prendas de piel",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CR 53 77 SUR 120,ANTIOQUIA,LA-ESTRELLA-ANTIOQUIA,Periodo Anterior,1887493,27594564,27155123,1720861,,1673312,227872,,60259225,,60259225,156000,23572413,,,1622531,20797120,32820,,3005479,,,84480,,49270843,109530068,2636540,,2636540,30465476,1467980,22902811,1631627,59104434,,59104434,,,,1273000,6330490,,1489343,,9092833,68197267,1730000,25195182,,,,,1927661,1475473,30328316,11004485,41332801,109530068
24,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800209481,GUIRNALDAS SAS,2020-12-31,C3290 - Otras industrias manufactureras n.c.p.,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,KM 2VIA TOCANCIPA ECOPETROL VDA EL PORVENIR FCA LA MAGDALENA,CUNDINAMARCA,TOCANCIPA-CUNDINAMARCA,Periodo Actual,13148434,19428522,26648845,5431971,,,,,64657772,,64657772,,51298569,,,,,,,812896,,4862943,1801383,,58775791,123433563,1669225,,1669225,11011926,4109110,17828805,4652174,39271240,,39271240,677785,,677785,,,,13376024,,14053809,53325049,5171400,3421166,,,17260458,5800830,1295052,36921235,69870141,238373,70108514,123433563
25,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800209481,GUIRNALDAS SAS,2020-12-31,C3290 - Otras industrias manufactureras n.c.p.,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,KM 2VIA TOCANCIPA ECOPETROL VDA EL PORVENIR FCA LA MAGDALENA,CUNDINAMARCA,TOCANCIPA-CUNDINAMARCA,Periodo Anterior,3726541,13651695,26748605,6260638,,70168,,,50457647,,50457647,,50268225,,,,,,,381621,,3686443,1278837,,55615126,106072773,1199093,,1199093,14659889,1261274,9386115,5133798,31640169,,31640169,765213,,765213,,,,14336318,,15101531,46741700,5171400,3421166,,,13150868,5800830,1295052,30359107,59198423,132650,59331073,106072773
26,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800221789,"BRINSA S.A,",2020-12-31,C1089 - Elaboración de otros productos alimenticios n.c.p.,01. SOCIEDAD ANÓNIMA,CRA 33 N 7-41 PI 2,ANTIOQUIA,MEDELLIN-ANTIOQUIA,Periodo Actual,55425119,96637216,79277291,33405763,,7087612,,,271833001,,271833001,23095557,529699508,,9320449,,,,,,,1732514,,,563848028,835681029,,1122731,1122731,124380129,6668626,4237365,19706890,156115741,,156115741,678286,1766995,2445281,,49648068,,269767764,,321861113,477976854,5730740,,,,,5868983,144203471,195952671,351755865,5948310,357704175,835681029
27,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800221789,"BRINSA S.A,",2020-12-31,C1089 - Elaboración de otros productos alimenticios n.c.p.,01. SOCIEDAD ANÓNIMA,CRA 33 N 7-41 PI 2,ANTIOQUIA,MEDELLIN-ANTIOQUIA,Periodo Anterior,29662166,113688119,61066236,4873628,,4542072,,,213832221,,213832221,23009558,532331496,,10773501,,,,,,,1452749,,,567567304,781399525,,1012248,1012248,103891513,5977608,5347755,16118187,132347311,,132347311,567739,1709672,2277411,,52727460,,250673585,,305678456,438025767,5730740,,,,,8050812,125529516,197935742,337246810,6126948,343373758,781399525
28,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800242482,INVERNAC & CIA SAS,2020-12-31,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CL 75 5 59,BOGOTA D.C.,BOGOTA D.C.,Periodo Actual,778883815,285089090,843141374,194307359,,26393970,20785871,,2148601479,,2148601479,389702365,3879729153,380208104,316480988,148950379,32781897,14212868,49565865,110137916,,9072890,9301420,,5340143845,7488745324,67139844,32612269,99752113,2006359704,57328037,48592767,38063655,2250096276,,2250096276,13574348,71601203,85175551,3349446817,209550908,,11349136,,3655522412,5905618688,109711,332704643,,,,305805025,71450701,285461303,995531383,587595253,1583126636,7488745324
29,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",800242482,INVERNAC & CIA SAS,2020-12-31,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CL 75 5 59,BOGOTA D.C.,BOGOTA D.C.,Periodo Anterior,396028805,263886243,643366976,113948699,,32895749,21575130,,1471701602,6765221,1478466823,61454054,3747330897,380208104,346034132,144149149,36861733,8094497,87433328,105480718,,27618576,11473794,,4956138982,6434605805,62864948,32547420,95412368,1634504792,45809370,44946491,36931043,1857604064,,1857604064,14101843,81602311,95704154,2561872884,251253884,,88526,,2908919448,4766523512,108353,294517403,,,,286152386,30703809,304906431,916388382,751693911,1668082293,6434605805
30,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",804010334,MEDIIMPLANTES SA,2020-12-31,"C3250 - Fabricación de instrumentos, aparatos y materiales médicos y odontológicos (incluido mobiliario)",01. SOCIEDAD ANÓNIMA,PAR INDUSTRIAL BUCARAMANGA MZ C BG 10,SANTANDER,BUCARAMANGA-SANTANDER,Periodo Actual,704535,6206210,17186162,655913,,,576055,,25328875,,25328875,,5994829,,236766,,,,,310618,,,,,6542213,31871088,943986,,943986,2451630,263959,3270774,110753,7041102,,7041102,,19804,19804,101342,,,3067965,,3189111,10230213,1130556,15447681,,,2615618,,4148040,-2152350,21189545,451330,21640875,31871088
31,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",804010334,MEDIIMPLANTES SA,2020-12-31,"C3250 - Fabricación de instrumentos, aparatos y materiales médicos y odontológicos (incluido mobiliario)",01. SOCIEDAD ANÓNIMA,PAR INDUSTRIAL BUCARAMANGA MZ C BG 10,SANTANDER,BUCARAMANGA-SANTANDER,Periodo Anterior,669034,8087738,12811397,327792,,,651749,,22547710,,22547710,,6856637,,355149,,,,,638951,,,,,7850737,30398447,1117067,,1117067,1685700,146614,2596103,88192,5633676,,5633676,,3234,3234,229441,464539,,2511507,,3208721,8842397,1130556,15447681,,,2107978,,4148040,-1554908,21279347,276703,21556050,30398447
32,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",805010369,LATINOAMERICANA DE LA CONSTRUCCION SA,2020-12-31,F4112 - Construcción de edificios no residenciales,01. SOCIEDAD ANÓNIMA,CL 17N 9N 23,VALLE,CALI-VALLE,Periodo Actual,3108750,25092221,25143496,2710110,,,230758,,56285335,,56285335,19159501,852840,,326007,,,3167329,,259184,,,,,23764861,80050196,712421,5008812,5721233,16914224,316630,14917707,8434801,46304595,,46304595,,,,4952549,1181901,,2410914,2776165,11321529,57626124,3000000,882000,,,,,1280780,17261292,22424072,,22424072,80050196
33,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",805010369,LATINOAMERICANA DE LA CONSTRUCCION SA,2020-12-31,F4112 - Construcción de edificios no residenciales,01. SOCIEDAD ANÓNIMA,CL 17N 9N 23,VALLE,CALI-VALLE,Periodo Anterior,7683079,20153969,16473346,2824501,,,1338051,,48472946,,48472946,13454303,1318195,,185287,,,3506003,,980,,,,,18464768,66937714,822869,1240238,2063107,9842033,168,12360642,6516450,30782400,,30782400,,,,5562148,831896,,3174535,5834929,15403508,46185908,3000000,882000,,,,,1072754,15797052,20751806,,20751806,66937714
