,punto de entrada,formulario,NIT,Razón social de la sociedad,Fecha de Corte,Clasificación Industrial Internacional Uniforme Versión 4 A.C,Tipo societario,Dirección de notificación judicial registrada en Cámara de Comercio,Departamento de la dirección del domicilio,Ciudad de la dirección del domicilio,Periodo,Efectivo y equivalentes al efectivo,Cuentas comerciales por cobrar y otras cuentas por cobrar corrientes,Inventarios corrientes,"Activos por impuestos corrientes, corriente",Activos biológicos corrientes,Otros activos financieros corrientes,Otros activos no financieros corrientes,Activos corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo dicha garantía colateral,Total activos corrientes distintos de los activos no corrientes o grupo de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,Activos corrientes totales,Propiedad de inversión,"Propiedades, planta y equipo",Plusvalía,Activos intangibles distintos de la plusvalía,Inversiones contabilizadas utilizando el método de la participación,Activos biológicos no corrientes,Cuentas comerciales por cobrar y otras cuentas por cobrar no corrientes,Inventarios no corrientes,Activos por impuestos diferidos,"Activos por impuestos corrientes, no corriente",Otros activos financieros no corrientes,Otros activos no financieros no corrientes,Activos no corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo la garantía colateral,Total de activos no corrientes,Total de activos,Provisiones corrientes por beneficios a los empleados,Otras provisiones corrientes,Total provisiones corrientes,Cuentas por pagar comerciales y otras cuentas por pagar,"Pasivos por impuestos corrientes, corriente",Otros pasivos financieros corrientes,Otros pasivos no financieros corrientes,Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,Pasivos corrientes totales,Provisiones no corrientes por beneficios a los empleados,Otras provisiones no corrientes,Total provisiones no corrientes,Cuentas comerciales por pagar y otras cuentas por pagar no corrientes,Pasivo por impuestos diferidos,"Pasivos por impuestos corrientes, no corriente",Otros pasivos financieros no corrientes,Otros pasivos no financieros no corrientes,Total de pasivos no corrientes,Total pasivos,Capital emitido,Prima de emisión,Acciones propias en cartera,Inversión suplementaria al capital asignado,Otras participaciones en el patrimonio,Superavit por revaluación,Otras reservas,Ganancias acumuladas,Total patrimonio atribuible a propietarios de la controladora,Participaciones no controladoras,Patrimonio total,Total de patrimonio y pasivos
10,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",900553004,COMERCIALIZADORA INTERNACIONAL TERRA BUNKERING S.A.S,2019-12-31,"G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CALLE 98 No 21-50  EDIFICIO TORRE EMPRESARIAL CL  98,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Actual,2253987,49792595,7283528,3037059,,,733636,,63100805,,63100805,23484736,39277293,,30322301,12874346,,26341434,,5017671,,1036019,,,138353800,201454605,1250161,,1250161,21020365,4422272,29758943,17834280,74286021,,74286021,,,,,7879241,,56376963,,64256204,138542225,15634170,37269135,,,,2827208,1300220,1107891,58138624,4773756,62912380,201454605
11,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",900553004,COMERCIALIZADORA INTERNACIONAL TERRA BUNKERING S.A.S,2019-12-31,"G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CALLE 98 No 21-50  EDIFICIO TORRE EMPRESARIAL CL  98,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Anterior,2269574,56020092,7937260,988770,,,,,67215696,,67215696,23399745,51350153,3248046,26708227,3848211,264495,,,1012723,,1033566,1245456,,112110622,179326318,400621,,400621,11162823,2380282,15155165,56335270,85434161,,85434161,,,,,3994887,,,,3994887,89429048,15634170,37269135,,,,21677568,1272692,-6518093,69335472,20561798,89897270,179326318
12,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",802015914,ALDA Y CIA SAS,2019-12-31,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",05. SOCIEDAD EN COMANDITA POR ACCIONES,CRA 38 No. 44 - 79,ATLANTICO,BARRANQUILLA-ATLANTICO,Periodo Actual,34318,740783,575430,,,,,,1350531,,1350531,,95540,,7266,,,,,,,,,,102806,1453337,,,,972829,,,,972829,,972829,,,,,,,,,,972829,200000,,,,,,28286,252222,480508,,480508,1453337
13,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",802015914,ALDA Y CIA SAS,2019-12-31,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",05. SOCIEDAD EN COMANDITA POR ACCIONES,CRA 38 No. 44 - 79,ATLANTICO,BARRANQUILLA-ATLANTICO,Periodo Anterior,19156,729007,534009,,,,,,1282172,,1282172,,95540,,6862,,,,,,,,,,102402,1384574,,,,969292,,,,969292,,969292,,,,,,,,,,969292,200000,,,,,,15973,199309,415282,,415282,1384574
14,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",901310999,TECNOLOGÍA Y CONSTRUCCIONES DE CONCRETO S.A. DE C.V.,2019-12-31,F4290 - Construcción de otras obras de ingeniería civil,01. SOCIEDAD ANÓNIMA,CR 12 # 98-64 OF 505,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Actual,58566,8168901,,898251,,,,,9125718,,9125718,,52152,,,,,,,,,,240450,,292602,9418320,,,,2481738,1675369,,,4157107,,4157107,,,,,,,,,,4157107,2372513,,,,,,66436,2822264,5261213,,5261213,9418320
15,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",901310999,TECNOLOGÍA Y CONSTRUCCIONES DE CONCRETO S.A. DE C.V.,2019-12-31,F4290 - Construcción de otras obras de ingeniería civil,01. SOCIEDAD ANÓNIMA,CR 12 # 98-64 OF 505,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Anterior,14123,4234333,,442941,,,1700,,4693097,,4693097,,69185,,,,,,,,,,74068,,143253,4836350,,,,1152115,985425,,,2137540,,2137540,,,,,,,,,,2137540,1146869,,,,,,58610,1493331,2698810,,2698810,4836350
16,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890924167,C.I. HERMECO S.A.,2019-12-31,"C1410 - Confección de prendas de vestir, excepto prendas de piel",01. SOCIEDAD ANÓNIMA,CR 50 7 35,ANTIOQUIA,MEDELLIN-ANTIOQUIA,Periodo Actual,4156907,29069961,80475660,862827,,,,,114565355,,114565355,,13272886,,1480074,550022,,,,,1022423,,12239711,,28565116,143130471,2418730,6550,2425280,47342682,12183401,42109493,,104060856,,104060856,,,,8100667,,,2035607,,10136274,114197130,9281,8162686,,,,,9710212,11051162,28933341,,28933341,143130471
17,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",890924167,C.I. HERMECO S.A.,2019-12-31,"C1410 - Confección de prendas de vestir, excepto prendas de piel",01. SOCIEDAD ANÓNIMA,CR 50 7 35,ANTIOQUIA,MEDELLIN-ANTIOQUIA,Periodo Anterior,5888377,27301657,69540469,2411005,,,,,105141508,,105141508,,12713656,,1241980,,,,,,157607,,,,14113243,119254751,2103894,6550,2110444,35237695,12499824,40433811,,90281774,,90281774,,,,,,,2750000,,2750000,93031774,9281,8162686,,,,,9317431,8733579,26222977,,26222977,119254751
18,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",811044853,PETRICORP S.A.S.,2019-12-31,N8211 - Actividades combinadas de servicios administrativos de oficina,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CR 25 3 45 P 3 MALL DEL ESTE,ANTIOQUIA,MEDELLIN-ANTIOQUIA,Periodo Actual,43282662,1002615822,104307222,5859764,,49635341,4729816,,1210430627,2530363,1212960990,5735876,416565714,1462932,4862893,142532902,,582513058,,15138271,,7465688,51315,,1176328649,2389289639,,93398351,93398351,233829977,5408540,302128152,104550752,739315772,,739315772,,3253678,3253678,14071062,80774787,,415745887,21417670,535263084,1274578856,959008,16775580,,,,17398820,-22687181,572946710,585392937,529317846,1114710783,2389289639
19,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",811044853,PETRICORP S.A.S.,2019-12-31,N8211 - Actividades combinadas de servicios administrativos de oficina,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CR 25 3 45 P 3 MALL DEL ESTE,ANTIOQUIA,MEDELLIN-ANTIOQUIA,Periodo Anterior,36061090,1205880099,122710829,6018163,,15844385,5624266,,1392138832,879172,1393018004,6408048,416075753,1462932,20415936,123866022,,591654077,,27271353,,7115688,644174,,1194913983,2587931987,,126912580,126912580,378317613,11205885,535265271,160840942,1212542291,,1212542291,,1176350,1176350,4999888,88795794,,158438967,13414613,266825612,1479367903,959008,16775580,,,,22098679,-17888188,538790455,560735534,547828550,1108564084,2587931987
20,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",813000008,ATP INGENIERIA SAS EN REORGANIZACION,2019-12-31,B0910 - Actividades de apoyo para la extracción de petróleo y de gas natural,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CARRERA 7 BIS A N° 124-69,BOGOTA D.C.,USAQUEN-BOGOTA D.C.,Periodo Actual,1322460,10134353,1484650,6404927,0,0,1384261,0,20730651,0,20730651,805007,43190101,0,1353333,9481,,2103858,311714,962841,5531,0,673303,0,49415169,70145820,597608,0,597608,2428890,8121274,386093,94399,11628264,0,11628264,0,0,0,12993790,2690151,6155257,8700702,0,30539900,42168164,6650000,0,0,0,0,13437873,1288057,7518670,28894600,-916944,27977656,70145820
21,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",813000008,ATP INGENIERIA SAS EN REORGANIZACION,2019-12-31,B0910 - Actividades de apoyo para la extracción de petróleo y de gas natural,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CARRERA 7 BIS A N° 124-69,BOGOTA D.C.,USAQUEN-BOGOTA D.C.,Periodo Anterior,3380049,11440373,1308746,3269001,0,0,2394898,0,21793067,0,21793067,805007,37209838,0,1298312,45511,0,2312457,257678,845770,6,0,1042953,0,43817532,65610599,1893881,0,1893881,3799089,2599939,396189,29422,8718520,0,8718520,0,292171,292171,12148347,2179253,8464554,8642225,0,31726550,40445070,6650000,0,0,0,0,13676942,1288057,3940659,25555658,-390129,25165529,65610599
22,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",813003433,CONSTRUCTORA DISARCO S.A.S.,2019-12-31,F4290 - Construcción de otras obras de ingeniería civil,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CR 7 155C 20 T E OF 1401 EDIF NORTH POINT,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Actual,1315728,8082170,13498555,,,,318184,,23214637,,23214637,437569,1527202,,507152,212240,,84421,3417985,,,,195870,,6382439,29597076,151074,,151074,1396207,78459,7646148,1380570,10652458,,10652458,,,,,42173,,,12927271,12969444,23621902,1168500,,,,,146325,403869,3791892,5510586,464588,5975174,29597076
23,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",813003433,CONSTRUCTORA DISARCO S.A.S.,2019-12-31,F4290 - Construcción de otras obras de ingeniería civil,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,CR 7 155C 20 T E OF 1401 EDIF NORTH POINT,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,Periodo Anterior,675457,8304521,31675998,32152,,,333789,,41021917,,41021917,437569,1442404,,176023,207018,,84421,1160013,,,,2451011,,5958459,46980376,165845,,165845,2279052,98441,20964854,9636303,33144495,,33144495,,,,,68580,,,8995502,9064082,42208577,1168500,,,,,146325,358541,2846691,4520057,251742,4771799,46980376
24,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",813003663,OMNILIFE MANUFACTURA DE COLOMBIA S.A.S.,2019-12-31,"G4729 - Comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,ZONA FCA PERMANENTE DEL CAUCA ET 1 LOTE 1 VDA LA SOFIA,CAUCA,GUACHENE-CAUCA,Periodo Actual,25242177,11153484,23329888,,,111531,,,59837080,,59837080,,34160130,,,,,,,395279,,,,,34555409,94392489,1173530,,1173530,17470843,5848751,429457,1276940,26199521,,26199521,,1056421,1056421,2691772,479211,,,6580301,10807705,37007226,315900,,,,,,-13954020,55200253,41562133,15823130,57385263,94392489
25,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",813003663,OMNILIFE MANUFACTURA DE COLOMBIA S.A.S.,2019-12-31,"G4729 - Comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados",08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,ZONA FCA PERMANENTE DEL CAUCA ET 1 LOTE 1 VDA LA SOFIA,CAUCA,GUACHENE-CAUCA,Periodo Anterior,17818701,11213625,20983979,115305,,29476,,,50161086,82652,50243738,,28137805,,,,,,,214474,,,,,28352279,78596017,763600,,763600,30291357,3107677,558150,334114,35054898,,35054898,,1106421,1106421,3566833,,,456391,,5129645,40184543,315900,,,,,,-12987245,39528972,26857627,11553847,38411474,78596017
26,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",815001802,MADERKIT SA,2019-12-31,C3110 - Fabricación de muebles,01. SOCIEDAD ANÓNIMA,CALLE 20 No. 20-551 ANTIGUA VIA CALI YUMBO,VALLE,YUMBO-VALLE,Periodo Actual,280037,13655238,12007296,1555578,0,0,448547,0,27946696,0,27946696,0,20295854,0,168058,0,0,0,0,1777241,0,0,85590,0,22326743,50273439,1026351,151057,1177408,5382513,818440,10243693,0,17622054,0,17622054,0,0,0,0,2559033,0,5166279,69506,7794818,25416872,4691411,2174250,0,0,0,6111975,8969925,2908769,24856330,237,24856567,50273439
27,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",815001802,MADERKIT SA,2019-12-31,C3110 - Fabricación de muebles,01. SOCIEDAD ANÓNIMA,CALLE 20 No. 20-551 ANTIGUA VIA CALI YUMBO,VALLE,YUMBO-VALLE,Periodo Anterior,364152,10583690,17188006,3010372,0,0,262983,0,31409203,0,31409203,0,20694028,0,236133,0,0,0,0,985917,0,0,86938,0,22003016,53412219,1031526,339577,1371103,8122440,671659,11672931,195644,22033777,0,22033777,0,0,0,0,1328129,0,6079624,64606,7472359,29506136,4691411,2174250,0,0,17531,6111975,7622274,3287677,23905118,965,23906083,53412219
28,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",816006799,BUSSCAR DE COLOMBIA S.A.S. EN REORGANIZACION,2019-12-31,C2920 - Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,KM 14 VIA CERRITOS,RISARALDA,PEREIRA-RISARALDA,Periodo Actual,17282477,99576029,49209516,,,,,,166068022,,166068022,,39414466,,,,,,,5213750,,,833936,,45462152,211530174,2034576,,2034576,33665377,1249040,43165319,15368039,95482351,,95482351,,,,20018498,12441842,2475941,45438171,,80374452,175856803,8964241,,,,2561659,,,24147965,35673865,-494,35673371,211530174
29,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",816006799,BUSSCAR DE COLOMBIA S.A.S. EN REORGANIZACION,2019-12-31,C2920 - Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,KM 14 VIA CERRITOS,RISARALDA,PEREIRA-RISARALDA,Periodo Anterior,2832089,47625598,38390521,,,,861935,,89710143,,89710143,,38826066,,9901,,,,,12406774,,,541631,,51784372,141494515,1535730,335882,1871612,15742315,275629,3724200,10063510,31677266,,31677266,,,,14578402,13905625,2023313,44701551,,75208891,106886157,8964241,,,,2561659,,,23082397,34608297,61,34608358,141494515
30,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",817006230,CARTONERA NACIONAL SA,2019-12-31,"C1702 - Fabricación de papel y cartón ondulado (corrugado); fabricación de envases, empaques y de embalajes de papel y cartón",01. SOCIEDAD ANÓNIMA,ZONA FRANCA PERMANENTE CONJUNTO INDUSTRIAL PARQUE SUR,CAUCA,VILLA-RICA-CAUCA,Periodo Actual,6403472,40625190,27461982,13705398,,,120937,,88316979,639854,88956833,,80303716,,11395923,,,,,,,,,,91699639,180656472,1002689,,1002689,61105869,4445857,10076706,6932218,83563339,,83563339,,,,,1150775,,44100473,,45251248,128814587,19041251,16270279,,,,,11008522,5521833,51841885,,51841885,180656472
31,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",817006230,CARTONERA NACIONAL SA,2019-12-31,"C1702 - Fabricación de papel y cartón ondulado (corrugado); fabricación de envases, empaques y de embalajes de papel y cartón",01. SOCIEDAD ANÓNIMA,ZONA FRANCA PERMANENTE CONJUNTO INDUSTRIAL PARQUE SUR,CAUCA,VILLA-RICA-CAUCA,Periodo Anterior,8395776,34967609,25123432,6279029,,,61657,,74827503,1227500,76055003,,72764220,,12314671,,,,,,,,,,85078891,161133894,855823,,855823,58584980,2699296,5672490,568892,68381481,,68381481,,,,,1272475,,42791769,,44064244,112445725,19041251,16270279,,,,,11008522,2368117,48688169,,48688169,161133894
32,Plenas-Consolidados,"Estado de situación financiera, corriente/no corriente",819004200,BANANERA DE EXPORTACION S.A.,2019-12-31,A0122 - Cultivo de plátano y banano,01. SOCIEDAD ANÓNIMA,CRA 1C N°22-58 OF 702,MAGDALENA,SANTA-MARTA-MAGDALENA,Periodo Actual,182373,966442,558972,369958,,,222076,,2299821,,2299821,,37093770,,,6930331,12968704,3048082,,,,562286,,,60603173,62902994,1151087,,1151087,973606,150098,3424289,18313,5717393,,5717393,,,,502889,4213184,,20150195,1955724,26821992,32539385,380000,1672817,,,,26619524,1434590,256678,30363609,,30363609,62902994
